| name         | type | adr  | bit  | descr                                                        |
| ------------ | ---- | ---- | ---- | ------------------------------------------------------------ |
| ID           | UINT | 0    |      | Унікальний ідентифікатор                                     |
| CLSID        | UINT | 1    |      | 16#1030                                                      |
| STA          | INT  | 2    |      | статус AIVAR_STA                                             |
| VALPROC      | INT  | 3    |      | значення у % від шкали вимірювання (0-10000)                 |
| PRM          | UINT | 4    |      |                                                              |
| PRM_LOENBL   | BOOL | 4    | 0    | =1 – задіяна тривога LO /MASK 16#1                           |
| PRM_HIENBL   | BOOL | 4    | 1    | =1 – задіяна тривога HI /MASK 16#2                           |
| PRM_LOLOENBL | BOOL | 4    | 2    | =1 – задіяна тривога LOLO /MASK 16#4                         |
| PRM_HIHIENBL | BOOL | 4    | 3    | =1 – задіяна тривога HIHI/MASK 16#8                          |
| PRM_BRKENBL  | BOOL | 4    | 4    | =1 – задіяна тривога обриву                                  |
| PRM_OVRLENBL | BOOL | 4    | 5    | =1 – задіяна тривога перевантаження                          |
| PRM_QALENBL  | BOOL | 4    | 6    | =1 – задіяна тривога перевірки якості даних                  |
| PRM_DSBL     | BOOL | 4    | 7    | =1 – змінна не задіяна                                       |
| PRM_PWLENBL  | BOOL | 4    | 8    | =1 – задіяна кусочно-лінійна інтерполяція (не використовувати разом з TOTALON) |
| PRM_TOTALON  | BOOL | 4    | 9    | =1 – задіяне інтегрування (не використовувати разом з PWLENBL) |
| PRMb10       | BOOL | 4    | 10   |                                                              |
| PRMb11       | BOOL | 4    | 11   |                                                              |
| PRMb12       | BOOL | 4    | 12   |                                                              |
| PRMb13       | BOOL | 4    | 13   |                                                              |
| PRMb14       | BOOL | 4    | 14   |                                                              |
| PRMb15       | BOOL | 4    | 15   |                                                              |
| CHID         | UINT | 5    |      | Логічний номер вхідного аналогового каналу CH                |
| LORAW        | INT  | 6    |      | Сире (немасштабоване) значення мінімуму                      |
| HIRAW        | INT  | 7    |      | Сире (немасштабоване) значення максимуму                     |
| VAL          | REAL | 8    |      | масштабоване значення                                        |
| LOENG        | REAL | 10   |      | Інженерне (масштабоване) значення мінімуму                   |
| HIENG        | REAL | 12   |      | Інженерне (масштабоване) значення максимуму                  |
| KFLT         | REAL | 14   |      | Коефіцієнт фільтрації для експоненціального фільтру (0.0-1.0, 0.0 – не фільтрувати), орієнтована дискретність 100 мс |
| LOSP         | REAL | 16   |      | Уставка тривоги HI                                           |
| HISP         | REAL | 18   |      | Уставка тривоги LO                                           |
| LOLOSP       | REAL | 20   |      | Уставка тривоги LOLO                                         |
| HIHISP       | REAL | 22   |      | Уставка тривоги HIHI                                         |
| THSP         | REAL | 24   |      | Технологічна уставка HI                                      |
| TLSP         | REAL | 26   |      | Технологічна уставка LO                                      |
| RVAL         | INT  | 28   |      | сире значення                                                |
| HYST         | UINT | 29   |      | гістерезис (0.1 %)                                           |
| TDEALL       | UINT | 30   |      | Час затримки на виникнення тривоги LL в 0.1 секундах         |
| TDEAL        | UINT | 31   |      | Час затримки на виникнення тривоги L в 0.1 секундах (за необхідністю) |
| TDEAH        | UINT | 32   |      | Час затримки на виникнення тривоги H в 0.1 секундах (за необхідністю) |
| TDEAHH       | UINT | 33   |      | Час затримки на виникнення тривоги HH в 0.1 секундах (за необхідністю) |
| STEP1        | UINT | 34   |      | крок                                                         |
| TSTEP1       | UINT | 35   |      | Час кроку в 0.1 секундах                                     |