| name        | type | adr  | bit  | descr                                                        |
| ----------- | ---- | ---- | ---- | ------------------------------------------------------------ |
| ID          | UINT | 0    |      | Унікальний ідентифікатор                                     |
| CLSID       | UINT | 1    |      | 16#1020                                                      |
| STA         | INT  | 2    |      | біти статусу DOVAR_STA                                       |
| VALI        | INT  | 3    |      | дублювання при не форсуванні, використовується для введення значення з буфера при форсуванні |
| PRM         | UINT | 4    |      | параметри конфігурації, повинні зберігатися при відключеному живленні |
| PRMb0       | BOOL | 4    | 0    |                                                              |
| PRMb1       | BOOL | 4    | 1    |                                                              |
| PRM_INVERSE | BOOL | 4    | 2    | =1 – інвертувати сире значення                               |
| PRMb3       | BOOL | 4    | 3    |                                                              |
| PRMb4       | BOOL | 4    | 4    |                                                              |
| PRMb5       | BOOL | 4    | 5    |                                                              |
| PRM_QALENBL | BOOL | 4    | 6    | =1 – задіяти тривогу недостовірності каналу                  |
| PRM_DSBL    | BOOL | 4    | 7    | =1 – змінна не задіяна                                       |
| PRMb8       | BOOL | 4    | 8    |                                                              |
| PRMb9       | BOOL | 4    | 9    |                                                              |
| PRMb10      | BOOL | 4    | 10   |                                                              |
| PRMb11      | BOOL | 4    | 11   |                                                              |
| PRMb12      | BOOL | 4    | 12   |                                                              |
| PRMb13      | BOOL | 4    | 13   |                                                              |
| PRMb14      | BOOL | 4    | 14   |                                                              |
| PRMb15      | BOOL | 4    | 15   |                                                              |
| CHID        | UINT | 5    |      | Логічний номер вихідного каналу                              |
| STEP1       | UINT | 6    |      | Крок                                                         |
| TSTEP1      | UINT | 7    |      | Час кроку в 0.1 с                                            |